,crop,p,c1,c2,fertilizer subsidy (%),land area (ha),yield (kg/ha),production (kg),Nfert (kg/ha)
686,maize,20,-30,-20,-20.0,157642.88,820.43,129334957.93,112.22
687,maize,-10,40,30,30.0,3218.74,22.25,71632.45,0.0
688,maize,40,-40,-40,-40.0,55666.21,1717.76,95621382.39,202.93
689,maize,20,10,20,20.0,410.48,249.35,102354.29,0.0
690,maize,10,-30,-10,-10.0,225681.08,615.53,138914480.36,73.05
691,maize,0,-10,-10,-10.0,118110.64,1080.97,127673485.33,461.12
692,maize,30,50,-20,-20.0,380988.5,0.19,71632.45,0.0
693,maize,20,-40,0,0.0,172104.65,743.45,127951882.4,78.19
694,maize,50,40,10,10.0,1463.07,48.96,71632.45,0.0
695,maize,30,50,-40,-40.0,380988.5,0.19,71632.45,0.0
696,maize,-20,-30,0,0.0,271040.13,504.04,136616236.71,43.61
697,maize,-40,20,-20,-20.0,710.5,100.82,71632.45,0.0
698,maize,10,10,10,10.0,464.58,221.64,102971.38,0.0
699,maize,20,0,40,40.0,58337.48,1496.15,87281861.92,67.2
700,maize,20,40,-10,-10.0,2340.9,30.6,71632.45,0.0
701,maize,10,-30,0,0.0,243659.78,569.39,138736236.82,60.09
702,maize,-30,20,-30,-30.0,659.75,108.57,71632.45,0.0
703,maize,30,-40,50,50.0,168612.85,681.92,114979936.64,40.44
704,maize,-20,50,-20,-20.0,380988.5,0.19,71632.45,0.0
705,maize,-10,10,40,40.0,554.65,181.35,100582.86,0.0
706,maize,20,-20,0,0.0,216798.07,634.79,137622315.41,75.42
707,maize,10,-30,30,30.0,262616.99,493.4,129575608.05,34.58
708,maize,50,0,-20,-20.0,138.92,515.63,71632.45,0.0
709,maize,-20,-30,10,10.0,251449.74,522.22,131311161.79,40.17
710,maize,30,40,-30,-30.0,2048.29,34.97,71632.45,0.0
711,maize,30,40,0,0.0,2048.29,34.97,71632.45,0.0
712,maize,30,50,-10,-10.0,380988.5,0.19,71632.45,0.0
713,maize,40,30,0,0.0,518.99,138.02,71632.45,0.0
714,maize,40,-30,-40,-40.0,65905.09,1524.05,100442465.96,181.15
715,maize,40,-20,40,40.0,127723.6,840.76,107384340.93,46.66
716,maize,-30,40,0,0.0,3803.97,18.83,71632.45,0.0
717,maize,-10,30,30,30.0,951.48,75.29,71632.45,0.0
718,maize,50,-30,0,0.0,86593.71,1250.22,108261083.86,145.1
719,maize,20,10,10,10.0,410.48,249.35,102354.29,0.0
720,maize,10,-40,-40,-40.0,142757.62,876.04,125061694.84,111.82
721,maize,30,-40,-40,-40.0,84236.62,1277.92,107647615.24,151.73
722,maize,-30,40,-30,-30.0,3803.97,18.83,71632.45,0.0
723,maize,0,50,30,30.0,380988.5,0.19,71632.45,0.0
724,maize,-30,50,-40,-40.0,380988.5,0.19,71632.45,0.0
725,maize,0,-10,40,40.0,226.58,316.15,71632.45,0.0
726,maize,30,30,50,50.0,605.49,118.31,71632.45,0.0
727,maize,-10,-20,-10,-10.0,201659.2,652.99,131681125.66,65.01
728,maize,20,30,10,10.0,691.99,103.52,71632.45,0.0
729,maize,10,-30,-40,-40.0,155749.16,831.52,129508349.2,118.69
730,maize,10,20,-20,-20.0,456.75,156.83,71632.45,0.0
731,maize,20,-30,20,20.0,224987.71,581.07,130733859.32,48.65
732,maize,20,-20,50,50.0,121734.9,844.33,102784151.15,39.79
733,maize,10,30,30,30.0,778.49,92.02,71632.45,0.0
734,maize,50,20,-30,-30.0,253.75,282.29,71632.45,0.0
735,maize,10,50,10,10.0,380988.5,0.19,71632.45,0.0
736,maize,-30,40,-20,-20.0,3803.97,18.83,71632.45,0.0
737,maize,0,-30,-30,-30.0,224024.85,630.21,141183119.62,84.89
738,maize,-20,0,-10,-10.0,333.42,214.84,71632.45,0.0
739,maize,10,40,-40,-40.0,2633.52,27.2,71632.45,0.0
740,maize,-10,-30,0,0.0,296512.01,477.13,141476228.39,44.86
741,maize,-20,20,20,20.0,609.0,117.62,71632.45,0.0
742,maize,20,-20,-40,-40.0,124554.25,987.64,123014658.98,156.33
743,maize,-20,30,50,50.0,1037.98,69.01,71632.45,0.0
744,maize,-30,10,-40,-40.0,657.84,153.45,100943.15,0.0
745,maize,50,50,10,10.0,380988.5,0.19,71632.45,0.0
746,maize,30,10,0,0.0,359.48,284.97,102441.05,0.0
747,maize,30,20,-40,-40.0,355.25,201.64,71632.45,0.0
748,maize,-10,20,-10,-10.0,558.25,128.32,71632.45,0.0
749,maize,-40,-10,-10,-10.0,317.21,225.82,71632.45,0.0
750,maize,-40,10,0,0.0,502.73,142.49,71632.45,0.0
751,maize,0,-10,10,10.0,116341.97,951.55,110705168.19,70.41
752,maize,-20,20,30,30.0,609.0,117.62,71632.45,0.0
753,maize,-30,40,20,20.0,3803.97,18.83,71632.45,0.0
754,maize,-10,50,30,30.0,380988.5,0.19,71632.45,0.0
755,maize,-40,-10,50,50.0,317.21,225.82,71632.45,0.0
